trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'a': 0.5, 'e': 0.9626058663135666}",20,0,-49.0798596845314,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.9746452757206577}",25,0,-109.32524414522322,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.7480575296890004}",25,8,-93.48993696578387,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 2}",1
59,False,"{'a': 0.5, 'e': 0.3383192109710552}",25,16,4.411690670657579,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.15425144988758405}",30,15,23.932491846768716,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.6090559761063562}",30,13,-44.85116659367073,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.9147423578045313}",20,0,-44.58846640738344,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.9964679075571249}",25,0,-129.36684953341384,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.8342233605065102}",30,0,-174.83647978565423,"{0: 18, 1: 5, 2: 3, 3: 1, 4: 3}",0
65,False,"{'a': 0.5, 'e': 0.4677318402470736}",20,0,-27.467671942186982,"{0: 14, 1: 5, 2: 0, 3: 1, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.013276747223059479}",20,11,15.165615327432292,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.49103472393024045}",20,9,21.224432462298854,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.8485702747846052}",25,0,-80.48571939667399,"{0: 15, 1: 6, 2: 2, 3: 2, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.9983462274487422}",25,0,-117.36208547769446,"{0: 12, 1: 3, 2: 9, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.9036922050915067}",30,0,-146.13094308679734,"{0: 16, 1: 6, 2: 5, 3: 2, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.587782813560387}",25,6,-18.41383837722266,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.12796368962740468}",20,12,11.993240371444193,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.36318540841606234}",20,0,6.3668608363869605,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.7654140519453433}",25,0,-90.26540702524684,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.9802426408101081}",30,0,-108.8172198572501,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.9550736440472949}",25,0,-79.15295868312157,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.6960693098638897}",25,0,-138.30019259869923,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
78,False,"{'a': 0.5, 'e': 0.26664293235993725}",20,16,9.302899585476426,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.22806693448309956}",25,13,15.175649186483472,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.6669380616522619}",30,8,-76.11907610977616,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.9425194910508831}",25,0,-201.277505846428,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
82,False,"{'a': 0.5, 'e': 0.9873392775238264}",25,0,-161.96117646671763,"{0: 13, 1: 1, 2: 7, 3: 3, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.7904239741978156}",30,0,-54.123526857389564,"{0: 19, 1: 7, 2: 3, 3: 1, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.39998531498835127}",20,10,20.390502684694543,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.08838369930580554}",25,12,20.364475068708384,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.5551133015206257}",25,0,-11.063615324121702,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.8859318072699817}",30,0,-127.19415920660612,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
